First: (1, -240587.0)
Got better! (1, -240587.0) (1, -244164.0)
Got better! (1, -244164.0) (1, -247463.0)
Got better! (1, -247463.0) (1, -249390.0)
Got better! (1, -249390.0) (1, -249785.0)
Got better! (1, -249785.0) (1, -252940.0)
Got better! (1, -252940.0) (1, -255762.0)
Got better! (1, -255762.0) (1, -258203.0)
Got better! (1, -258203.0) (1, -260879.0)
Got better! (1, -260879.0) (1, -263256.0)
Got better! (1, -263256.0) (1, -265549.0)
Got better! (1, -265549.0) (1, -267774.0)
Got better! (1, -267774.0) (1, -269889.0)
Got better! (1, -269889.0) (1, -271517.0)
Got better! (1, -271517.0) (1, -273466.0)
Got better! (1, -273466.0) (1, -275367.0)
Got better! (1, -275367.0) (1, -277013.0)
Got better! (1, -277013.0) (1, -278633.0)
Got better! (1, -278633.0) (1, -280514.0)
Got better! (1, -280514.0) (1, -282114.0)
Got better! (1, -282114.0) (1, -283773.0)
Got better! (1, -283773.0) (1, -285301.0)
Got better! (1, -285301.0) (1, -286826.0)
Got better! (1, -286826.0) (1, -288169.0)
Got better! (1, -288169.0) (1, -290105.0)
Got better! (1, -290105.0) (1, -291725.0)
Got better! (1, -291725.0) (1, -293317.0)
Got better! (1, -293317.0) (1, -294736.0)
Got better! (1, -294736.0) (1, -295829.0)
Got better! (1, -295829.0) (1, -296642.0)
Got better! (1, -296642.0) (1, -297897.0)
Got better! (1, -297897.0) (1, -299069.0)
Got better! (1, -299069.0) (1, -300272.0)
Got better! (1, -300272.0) (1, -301310.0)
Got better! (1, -301310.0) (1, -302504.0)
Got better! (1, -302504.0) (1, -303379.0)
Got better! (1, -303379.0) (1, -304407.0)
Got better! (1, -304407.0) (1, -305141.0)
Got better! (1, -305141.0) (1, -305412.0)
Got better! (1, -305412.0) (1, -306456.0)
Got better! (1, -306456.0) (1, -306668.0)
Got better! (1, -306668.0) (1, -307373.0)
Got better! (1, -307373.0) (1, -307903.0)
Got better! (1, -307903.0) (1, -308523.0)
Got better! (1, -308523.0) (1, -309032.0)
Got better! (1, -309032.0) (1, -309880.0)
